Feature,Mean Importance,Importance Std,gene
OG0001966,0.010343375871533611,0.003600522637958484,"fau_2,fau"
OG0004136,0.009981238492409079,0.0030180627819628375,ece2_2
OG0004291,0.00941644070337196,0.0009030157513303443,eif3j
OG0005472,0.009291457645960611,0.0034620914797672906,trip4
OG0000518,0.009177503035834204,0.0011005281003452023,"faxdc2_3,faxdc2_11,faxdc2_10,faxdc2_7,faxdc2_8,faxdc2_4,faxdc2_5,faxdc2_2,faxdc2,faxdc2_9,faxdc2_6"
OG0001845,0.008949215281699915,0.0022555622876472563,"tpst,tpst_2"
OG0000013,0.008832928410132734,0.002924098952775804,"cyp4c3_3,cyp4v2_cyp4c3_5,cyp4v2_23,cyp4v2_3,cyp4v2_29,cyp4v2_21,cyp4v2_cyp4c3_4,cyp4v2_31,cyp4c1_4,cyp4v2_16,cyp4v2_17,cyp4v2_18,cyp4v2,cyp4v2_11,cyp4v2_7,cyp4v2_28,cyp4c3_2,cyp4c1_cyp4v2,cyp4v2_19,cyp4v2_cyp4c1,cyp4v2_cyp4c3_2,cyp4v2_20,cyp4c3_cyp4v2,cyp4v2_cyp4c3_3,cyp4v2_14,cyp4s3,cyp4v2_27,cyp4c3_5,cyp4c3,cyp4v2_24,cyp4v2_30,cyp4v2_6,LASC017579,cyp4v2_10,cyp4g15_2,cyp4c1_cyp4d14,cyp4c1_5,cyp4c3_4,cyp4g15,cyp4v2_8,cyp4c1,cyp4c1_2,cyp4v2_2,cyp4v2_5,cyp4v2_4,cyp4v2_12,cyp4c1_3,cyp4v2_13,cyp4v2_22,cyp4v2_15,cyp4c1_6,cyp4v2_26,cyp4v2_9"
OG0004629,0.008559264076504158,0.0031244126850858947,LASC006408
OG0002039,0.008527288924718277,0.0033957377283402044,"ttc39b_2,ttc39b"
OG0000623,0.008421729313900747,0.0022436585733103965,"LASC007034,LASC007037"
OG0000022,0.008137032160313721,0.0019135721046767298,"LASC002598,LASC010177,LASC010178,LASC010181,LASC010182,LASC010193,LASC013337,LASC014469,LASC014596,LASC014601,LASC014603,LASC014604,LASC014606,LASC017591,LASC017592,LASC017599,LASC017600,LASC017601,LASC017602,LASC017629"
OG0000442,0.007975829368727243,0.005057667580509356,"hpgd_12,hpgd_13,hpgd_9,hpgd_4,hpgd_15,hpgd_10,hpgd_3,hpgd_14"
OG0000478,0.007936364120527806,0.0011055735186747667,"ephx1_4,ephx1_3,ephx1,ephx1_2"
OG0007855,0.007526598890392233,0.002077573059167072,polr3k
OG0000127,0.007480340644746073,0.002251726659642635,"hsd17b2_bdh1,hsd17b2_3,hsd17b2_7,hsd17b2_4,hsd17b6,bdh1_2,hsd17b2_bdh1_2,hsd17b2_9,hsd17b2,bdh1_4,hsd17b6_3,hsd17b2_2,rdh7_hsd17b2,hsd17b2_8,hsd17b6_hsd17b2,hsd17b2_5,hsd17b2_6"
OG0001528,0.007411245467842312,0.001026709941189012,"asah2,dcd2b"
OG0000122,0.007350893382648635,0.001875073114402431,"nedd8,rpl40"
OG0000073,0.00732276470202273,0.0016538222060232858,"fmo2_7,fmo2_3,fmo2_4,fmo2_8,fmo2_2,fmo5,fmo2_10,fmo2_5,LASC009105,fmo5_8,fmo2_fmo5_2,fmo5_16,fmo2_6,fmo2_9,fmo5_15,fmo2_fmo5_3,fmo2,fmo5_9,fmo5_2,fmo2_fmo5"
OG0001326,0.007283292081877326,0.002832262751330429,"acp7,acp7_2"
OG0001080,0.0072807264633366455,0.0030138553475866185,"gale_2,gale"
OG0000888,0.007263288108405182,0.0019791241822645304,"slc7a9_3,slc7a9,slc7a9_2"
OG0003830,0.00721413697447449,0.0022837307571757994,rack1
OG0001009,0.007149604562513226,0.0021358074554041658,"bcat2_v1g246094,bcat1"
OG0006868,0.007059830723385558,0.0026954372633274312,nifk
OG0006003,0.007052075841062831,0.0012137326283200936,rps25
OG0007367,0.007011509389612783,0.0017719705884454578,sec61b
OG0003330,0.006972727233221362,0.001391262947280084,rps24
OG0000078,0.00691068467607861,0.0018239164244574912,"LASC000871,LASC000872,LASC000874,pdcd6_bche,LASC002408,LASC002454,LASC002535,LASC002536,LASC004560,LASC009956,LASC017075,LASC017076,ace-1_2,LASC017096,LASC017753,LASC017755,LASC017758,ace-1,LASC017760,ache,LASC017762"
OG0004214,0.0068913313965292145,0.0017277741672396952,rpl32
OG0001263,0.006855999355632079,0.001561281421858255,"rplp1_2,rplp1"
OG0000171,0.006832110851696013,0.0018445752071266093,"LASC000220,LASC000221,LASC000222,LASC000223,LASC000224,LASC000246,LASC000251,LASC000252,LASC000253,LASC000254,LASC000256,LASC000257,LASC000319,LASC001682,LASC022827"
OG0005683,0.0067508442663852435,0.0027498784737490403,rps15a
OG0004021,0.00668547127766235,0.0018193986254944725,LASC016881
OG0003439,0.006587107180587535,0.0016399580117579143,rps6
OG0001411,0.006580445401081445,0.0007818188367166926,arfgap2
OG0007472,0.006567511118138883,0.0016121100624383218,immp2l
OG0006402,0.006526896609314095,0.00232044666714871,mak16
OG0000820,0.006516803912448408,0.0011282894401024206,"hexbp,cnbp,cnbp_2"
OG0004738,0.006507311308057551,0.0023897397813455045,LASC004484
OG0006950,0.006494425799224606,0.0021481868603541914,rpl37a
OG0005430,0.006468329175904512,0.0010859234990558213,rpl14
OG0006064,0.006462090686888339,0.0013775391765210071,LASC011933
