DRR,Cluster,PC1,PC2,PC3,PC4,PC5
DRR296821,2,64.36811424239235,-58.0728723077974,2.8225743269214743,14.426933479531833,12.332873921335809
DRR296993,1,-17.565697732421867,-4.974202473748709,12.485125055213038,-16.55066125648015,4.811573763042342
DRR297051,4,-2.5489486121263916,4.014054308063348,-4.596062698338938,-10.06912621864494,19.066052973230708
DRR296495,4,-15.555736158182256,-2.874959724413019,-3.9147888155651396,-7.250989948531954,37.73472215143338
DRR297664,0,18.633294506230822,45.042153384436396,-41.523769077286204,11.175459314964876,35.500108532016625
DRR297669,2,49.13245645109617,-43.381322389192526,-1.5049609973958409,42.76255041282301,-11.295964198299547
DRR297832,4,-30.159582168777888,-6.846098728539034,-26.241966581120845,10.445652089450759,8.59868637038266
DRR297651,2,58.17726652520753,-26.045720822041385,0.9312915902921717,38.854983486332856,-31.05637828993611
DRR297122,4,3.06481729121616,-24.891076368930328,-51.401327240263555,-11.433207951324496,-3.7981742202111226
DRR296744,1,-17.550144856654665,-28.613371028479158,-21.64150982457108,-23.462604554738494,7.3109155304822435
DRR296943,3,-74.85952968417415,-19.546806682535866,35.61701164951703,16.32942528855098,26.312910798658937
DRR297813,4,-12.07178785599057,-7.154560076141605,-33.863233410332974,1.855545525039382,3.0941971464272493
DRR297180,3,-54.53049788413894,18.37396719082891,24.483445403950718,18.96767308572097,9.89513976901222
DRR297356,1,-23.501268183487234,-48.71684045743687,-0.42830703461578806,-38.23289538994194,21.458864099196706
DRR296742,0,33.61455862915711,88.97354411564464,-12.316670511576847,64.40281805555156,31.14270016647137
DRR296524,0,37.28161915412337,22.472369867587297,-38.2309982036433,5.759023137240642,66.0359864516217
DRR296820,3,-53.14250080701099,23.729080508600283,63.64266150440052,-1.3249547347569615,3.97548004286248
DRR297052,3,-62.187856425939415,3.329552278226237,28.042600264047156,8.808963079681218,15.914508172272381
DRR296490,0,81.47471281726625,51.9214383352485,45.24171512115259,-40.52672067761198,-7.795714876318048
DRR296798,5,-13.262235159339227,46.98952467206381,-2.173399835505993,12.228629345059055,-40.34912483044766
DRR296560,1,-10.334799238726406,-26.661823207422067,-12.71328954903216,-36.32528470269603,14.72018423513638
DRR297406,5,0.312568458863775,1.7740749269176963,-30.828361687463758,-2.907053241724548,-36.07079989065198
DRR296564,3,-54.26172995265887,29.288606140993707,0.227031443039269,29.1619600931067,3.6745203675572773
DRR297205,4,-24.712673660404594,-24.996817815634262,-32.340234813812074,6.002097249197363,-11.924014415446425
DRR297415,1,-47.81377121325136,-2.169533273700469,18.55151391292478,-5.598410613214983,-23.781755417888142
DRR296546,3,-50.35480667067088,22.757566674255745,38.41469687425419,4.624029035453488,10.728150645148572
DRR296662,3,-61.379521809271466,-5.639552802842564,18.23956494413338,6.854127994031236,7.884859611835164
DRR297930,1,-44.12443150017591,13.89887582288313,28.244279717409388,-1.7085204265017855,-28.392891143550482
DRR296802,4,-12.055368708990212,-34.86508288754734,-34.27822787830352,-18.29893439255767,5.733463239790754
DRR297961,3,-65.57000342418776,6.7713681852166845,16.071418214260955,37.101396611513046,21.622190696424155
DRR296576,3,-71.9593929397644,7.484456997210207,42.38846091332151,8.062516084034035,4.381541678897301
DRR296956,5,-43.48437162693328,33.63557272520391,1.6207480375778702,25.269147442828206,-54.12750857863975
DRR297109,5,-16.691305878120374,8.019661932826535,-6.023746199817613,7.131570202525554,-20.681822411431142
DRR297908,1,-17.376538075600664,-13.95695071437785,-0.5102243261820283,-12.91794409707004,-9.102495527017656
DRR297871,4,1.0883029722870436,-11.711881417586417,-23.429696158162194,5.731438518286507,5.386105406576241
DRR297299,1,-3.79185229129831,-2.7752201654267363,8.30086853945021,-9.63607269595783,-9.640015132505413
DRR297616,4,12.151234824027924,18.659231728423013,-62.43120650826417,4.132806010912452,9.302528868731473
DRR297130,0,78.42241888460863,23.503531031141957,61.251755325241746,-11.321612130786304,-0.16152009885545168
DRR297931,4,-19.67030668063216,8.720165356851215,-0.708529673953059,2.9435666544900245,-6.966451321497188
DRR296658,0,77.00261592775342,53.28391873615567,-38.88048194773407,2.561371403318428,-2.130171990353083
DRR297713,4,1.6720048918977892,26.528779240981155,-20.46407574601024,3.2066169242843245,-1.536525148379718
DRR297497,1,5.367067445254346,-9.271180250200665,24.033441168201254,-57.62222783471511,-12.708888477864276
DRR297535,4,-27.830653095914435,26.5339756274908,-27.466123376158603,34.30014273792517,17.18457539791182
DRR296775,5,-23.318368870253074,22.222610675809015,-38.89209247022439,30.512733363956677,-30.47398703741567
DRR297394,4,-11.33196555772908,7.914247487629759,-25.364490232474612,-3.8568322669863306,-8.049909926019065
